FARMER'S MARKET,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Time,Location 1,Location Info,Island,Website,Contact,Phone,Email
"Waialua Farmers' Market
Waialua Sugar Mill
8:30 AM to 12:00 Noon
Edith Ramiscal
Email: info@sugarmillhawaii.com",,,,,,,X,,,,,,,,
"MAUI FARMER’S MARKETS
Updated 3/1/2011",,,,,,,,,,,,,,,
"Kekaha Neighborhood Center (Sunshine Markets)
Elepaio Road, Kekaha
9 AM
Cora Asuncion, Phone: (808) 742-1834",,,,,,,X,,,,,,,,
"Hali'imaile Farmers' Market
Hali'imaile Town Center (in a former Maui Pineapple Co. parking lot next to Hali'imaile General Store)
1:00 PM - 6:00 PM",,,,,,X,,,,,,,,,
"Mahiku Farmers' Market
International Market Place-Waikiki (near the Food Court)
4:00 PM - 8:00 PM  www.mahikufarmersmarket.com
Contact: Sonny Doung     Phone: (808) 225-4002
Email: sonnydoung@hotmail.com ",,,,,X,,,,,,,,,,
Country Market & Craft Fair at Waimanalo Homestead Community Center,X,,,,,,,9:00 AM to 4:00PM,"1330 Kalanianaole Hwy., HI",Waimanalo Homestead Community Center,Oahu,,Paul Richard,"(808) 259-8611, Cell: (808) 284-2575",
"Hawaii Kai Towne Center
Kalanianaole Highway at Keahole Street, Honolulu
7:30 AM to 3:00 PM
Phone: (808) 396-0766",,X,,X,,,X,,,,,,,,
Queen's Medical Center,,,,X*,,,,10:00 AM to 2:00 PM,"1301 Punchbowl Street
Honolulu, HI
(21.307250002000444, -157.85527925099973)",First Wednesdays,Oahu,,,,
"Pokai Bay Beach Park (People's Open Market)
85-037 Pokai Bay Road, Waianae
11:00 AM to 11:45 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom ",,,,,,X,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
International Market Place ,,,,,X,,,4:00 PM to 8:00 PM,"2330 Kalakaua Avenue
Honolulu, HI
(21.277500376000432, -157.82711977399973)",Next to Food Court,Oahu,,,,
Hawaiian Homestead Farmers’ Market at Kuhio Hale Building,,,,,,,X,7:00 AM to 12:00 NOON,"64-759 Kahilu Road, Waimea",,Hawaii,,,,
"Salt Lake Municipal Lot  (People's Open Market)
5337 Likini Street, Honolulu
11:15 AM to 12:00 Noon
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom",,,,,,,X,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
Old Stadium Park (People's Open Market),,,,X,,,,8:15 AM to 9:15 AM,"2237 South King Street
Honolulu, HI
(21.293791309000426, -157.82719811599975)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"Ka’u Farmers’ Market


",,,,X,,,X,7:00 AM to 12:00 PM,,"In Front of Ace Hardware, Ka’u",Hawaii,,Dennis & Marge,(808) 929-7239,dewell@hawaii.rr.com
"Under the Banyan’s Farmers’ Market
Hawi
7:30 AM to 1:00 PM",,,,,,,X,,,,,,,,
"Maui Mall Farmers' Market & Craft Fair
Maui Mall, Kahului
7:00 AM to 4:00 PM
Ms. Cynda Hearn (808) 871-1307",,,X,X,,X,,,,,,,,,
Kukui Grove Shopping Center,,X,,,,,,3:00 PM,"Lihue
(21.978857825000432, -159.36718896099975)",,Kauai,,,,
Kaneohe District Park (People's Open Market),,,,,X,,,10:45 AM to 11:45 AM,"45-660 Keaahala Road
Kaneohe, HI
(21.409360657000434, -157.81028953799975)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Ewa Beach Elementary School,X,,,,,,,9:00 AM to 1:00 PM,"91-740 Papipi Road
Ewa Beach, HI
(21.31503419100045, -158.01439823499973)",,Oahu,http://www.mahikufarmersmarket.com,Sonny Doung,(808) 225-4002,sonnydoung@hotmail.com
"Ho'oulu Community Farmers Market
Keauhou Beach Resort Royal Gardens
12:30 PM to 5:30 PM
Kumu Keala Ching: (808) 324-2540
keala.ching@outrigger.com",,,,X,,,,,,,,,,,
Waimea Town Market at Parker School,,,,,,,X,7:00 AM to 2:00 PM,,Behind Paniolo Country Inn,Hawaii,,,,
"Fern Forest Town Market
2nd Saturday of the month from 9:00 AM to 1:00 PM
Jan:  Phone: (808) 968-8631",,,,,,,X,,,,,,,,
"Hanapepe Park (Sunshine Markets)
in Old Hanapepe Town",,,,,X,,,3:00 PM,,,Kauai,,Cora Asuncion,(808) 742-1834,
"Panaewa Hawaiian Home Lands Farmers’ Market
Corner of Puainako and Ohuohu., On the sidewalk of Hilo WalMart
8:00 AM to 5:00 PM
Jerry:  Phone: (808) 959-0488",X,X,X,X,X,X,X,,,,,,,,
"Kona Farmers’ Market

Makapua Center - In front of K-Mart, Kailua-Kona",X,,,,X,X,X,7:00AM to 5:00PM,74-5465 Kamakaeha Avenue,,Hawaii,,Bob Gagne,(808) 333-2478,gagner001@hawaii.rr.com
Mahiku Farmers' Market at Momilani Community Center,,,,,,X,,3:00 PM to 7:00 PM,"715 Hoomoana St
Pearl City, HI 96782
(21.408970034000447, -157.96024986999973)",corner of Hoomoana & Komo Mai Dr,Oahu,http://www.mahikufarmersmarket.com,Sonny Doung,(808) 225-4002,sonnydoung@hotmail.com
"Mother Waldron Park (People's Open Market)
525 Coral Street, Honolulu
10:15 AM to 11:00 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom ",,X,,,,,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
The Mililani Sunday Farmers' Market at Mililani High School,X,,,,,,,8:00 AM to 12:00 NOON,"95-1200 Meheula Parkway
Mililani, HI
(21.452906795000445, -158.00846980399973)",Mililani High School Parking Lot,Oahu,http://www.hfbf.org,,(808) 848-2074,
Benjamin Parker Elementary School,,,,,,,X,8:00 AM to 2:00 PM,"45-259 Waikalua Road
Kaneohe, HI
(21.413500808000435, -157.79883930699975)",,,,(808) 225-4002,sonnydoung@hotmail.com  www.mahikufarmersmarket.com,
Kalihi Farmers' Market at Kapalama Elementary School,X,,,,,,,7:00 AM to 1:00 PM,"1601 N. School Street
Honolulu, HI
(21.335250464000467, -157.86880934999974)",Kapalama Elementary School,Oahu,http://www.mahikufarmersmarket.com,Sonny Doung,(808) 225-4002,sonnydoung@hotmail.com
"The Market Place
Across from the Hilo Farmer’s Market",,,,X,,,,7:00 AM to 3:00 PM,,,Hawaii,http://www.hilofarmersmarket.com,Keith,(808) 933-1000,
"Kekela Farm
64-604 Mana Road
2:00 PM to 5:00 PM
Phone: (808) 887-0023",,,X,,X,X,,,,,,,,,
"Kailua Elementary School (Opening March 10, 2012)
315 Kuulei Road, Kailua - parking lot
4:00 PM to 8:00 PM
Contact Sonny Doung   Phone: (808) 225-4002
Email: sonnydoung@hotmail.com  www.mahikufarmersmarket.com",,,,,,,X,,,,,,,,
Makawao Farmers' Market,,,,X,,,,9:30 AM -   2:00 PM,"200 Olinda Rd.
Makawao, HI 96768
(20.849390600000447, -156.30839892799975)",Po'okela Church on Olinda Road,Maui,http://makawaofarmersmarket.org/,Debbie,808-419-1570,
Benjamin Parker Elementary School,,,,,,,X,8:00 AM to 2:00 PM,"45-259 Waikalua Road
Kaneohe, HI
(21.413500808000435, -157.79883930699975)",,Oahu,,Sonny Doung,(808) 225-4002,sonnydoung@hotmail.com
"Village Farmers’ Market
Across from Hale Halawai, Kailua-Kona
8:00 AM to 5:00 PM",X,,,,X,X,X,,,,,,,,
Davies Pacific Center,,,"X
*2nd & 4th",,,,,10:00 AM - 1:00 PM,841 Bishop Street,*2nd & 4th Tuesdays,,,,,
Kekaha Neighborhood Center (Sunshine Markets),,,,,,,X,9:00 AM,"Elepaio Road, Kekaha",,Kauai,,Cora Asuncion,(808) 742-1834,
